liga,time,jogo,jogador,posicao_x,posicao_y,velocidade,batimentos
Ligue 1,Monaco,Jogo 1,Aleksandr Golovin,68,83,27.9,175
Serie A,Milan,Jogo 1,Mike Maignan,53,53,29.6,165
Primeira Liga,Sporting CP,Jogo 1,Sebastián Coates,10,32,25.8,175
Brasileirão,Palmeiras,Jogo 1,Weverton,31,100,26.5,165
Serie A,Inter de Milão,Jogo 1,Lautaro Martínez,23,89,31.3,183
Ligue 1,Monaco,Jogo 1,Caio Henrique,75,79,21.6,184
Eredivisie,Feyenoord,Jogo 1,Dávid Hancko,94,23,28.1,152
La Liga,Barcelona,Jogo 1,Gavi,63,38,26.7,185
Premier League,Manchester United,Jogo 1,Mason Mount,84,20,25.4,165
Eredivisie,Twente,Jogo 1,Robin Pröpper,24,46,20.2,152
Bundesliga,Freiburg,Jogo 1,Ritsu Doan,4,98,22.9,153
Brasileirão,Flamengo,Jogo 1,Giorgian De Arrascaeta,74,19,26.8,184
Premier League,Manchester City,Jogo 1,Kevin De Bruyne,69,65,30.1,179
Premier League,Arsenal,Jogo 1,Bukayo Saka,82,38,23.4,170
Brasileirão,São Paulo,Jogo 1,Calleri,95,40,34.9,160
Brasileirão,Atlético Mineiro,Jogo 1,Éverson,28,10,20.7,152
Eredivisie,Twente,Jogo 1,Michel Vlap,87,14,34.3,161
Serie A,Milan,Jogo 1,Rafael Leão,66,11,24.3,175
Premier League,Manchester United,Jogo 1,Mason Mount,94,17,33.0,169
Eredivisie,Twente,Jogo 1,Michel Vlap,9,41,20.4,164
Brasileirão,Palmeiras,Jogo 1,Endrick,29,85,33.3,164
Premier League,Arsenal,Jogo 1,Declan Rice,54,61,28.4,166
Primeira Liga,Porto,Jogo 1,Evanilson,33,83,25.9,164
Eredivisie,Ajax,Jogo 1,Devyne Rensch,6,15,29.4,173
Primeira Liga,Braga,Jogo 1,Simon Banza,81,52,25.1,167
La Liga,Atlético Madrid,Jogo 1,Jan Oblak,6,64,23.4,159
Primeira Liga,Benfica,Jogo 1,Alexander Bah,57,81,28.7,188
Bundesliga,Wolfsburg,Jogo 1,Patrick Wimmer,75,73,20.4,177
Brasileirão,São Paulo,Jogo 1,Luciano,8,77,26.4,156
Eredivisie,Ajax,Jogo 1,Devyne Rensch,58,22,32.2,154
Bundesliga,Bayern Munich,Jogo 1,Alphonso Davies,37,29,27.2,178
Eredivisie,AZ Alkmaar,Jogo 1,Vangelis Pavlidis,21,33,21.8,150
Eredivisie,AZ Alkmaar,Jogo 1,Riechedly Bazoer,12,3,25.6,176
Premier League,Arsenal,Jogo 1,Martin Ødegaard,24,16,33.6,188
La Liga,Sevilla,Jogo 1,Lucas Ocampos,52,71,26.2,170
Serie A,Inter de Milão,Jogo 1,Federico Dimarco,42,54,25.8,175
Ligue 1,Nice,Jogo 1,Sofiane Diop,69,86,22.2,167
Eredivisie,Ajax,Jogo 1,Steven Berghuis,41,76,27.4,162
Bundesliga,RB Leipzig,Jogo 1,Mohamed Simakan,68,22,25.5,184
Primeira Liga,Vitória SC,Jogo 1,Tiago Silva,80,95,27.5,169
Ligue 1,Paris Saint-Germain,Jogo 1,Marquinhos,65,16,26.3,178
Premier League,Manchester City,Jogo 1,Phil Foden,11,35,30.4,185
Premier League,Manchester United,Jogo 1,Marcus Rashford,8,1,31.1,189
Serie A,Lazio,Jogo 1,Sergej Milinković-Savić,88,55,31.8,188
Brasileirão,Flamengo,Jogo 1,Bruno Henrique,19,91,33.1,172
La Liga,Atlético Madrid,Jogo 1,Álvaro Morata,49,39,22.2,170
Bundesliga,Wolfsburg,Jogo 1,Lovro Majer,55,32,33.2,152
Bundesliga,Bayer Leverkusen,Jogo 1,Jonas Hofmann,13,68,33.5,164
La Liga,Villarreal,Jogo 1,Raúl Albiol,89,24,27.6,186
Bundesliga,Bayern Munich,Jogo 1,Leroy Sané,50,80,34.4,182
Primeira Liga,Vitória SC,Jogo 2,Bruno Gaspar,76,84,25.6,173
La Liga,Sevilla,Jogo 2,Lucas Ocampos,22,98,25.8,178
La Liga,Barcelona,Jogo 2,Gavi,59,91,26.7,161
Eredivisie,Feyenoord,Jogo 2,Quinten Timber,2,87,24.0,182
Serie A,Inter de Milão,Jogo 2,Federico Dimarco,17,1,22.5,150
La Liga,Sevilla,Jogo 2,Nemanja Gudelj,21,67,27.0,189
Bundesliga,Borussia Dortmund,Jogo 2,Julian Brandt,31,32,22.7,163
Bundesliga,RB Leipzig,Jogo 2,Xavi Simons,64,95,25.8,180
La Liga,Villarreal,Jogo 2,Álex Baena,40,61,23.7,164
Bundesliga,Bayern Munich,Jogo 2,Alphonso Davies,71,12,30.1,174
Ligue 1,Nice,Jogo 2,Gaëtan Laborde,62,54,33.2,178
Serie A,Juventus,Jogo 2,Adrien Rabiot,67,45,21.2,152
Bundesliga,RB Leipzig,Jogo 2,Loïs Openda,80,75,28.3,170
Premier League,Manchester United,Jogo 2,Raphaël Varane,5,52,24.3,187
Ligue 1,Nice,Jogo 2,Jean-Clair Todibo,71,93,23.0,181
Serie A,Roma,Jogo 2,Paulo Dybala,32,4,32.2,164
Primeira Liga,Braga,Jogo 2,Simon Banza,66,27,28.4,168
Premier League,Manchester United,Jogo 2,Marcus Rashford,74,83,30.9,172
Serie A,Lazio,Jogo 2,Mattéo Guendouzi,47,72,22.1,182
Brasileirão,São Paulo,Jogo 2,Luciano,88,70,27.1,159
La Liga,Barcelona,Jogo 2,Robert Lewandowski,54,25,30.9,156
Eredivisie,Twente,Jogo 2,Manfred Ugalde,49,54,29.3,175
Primeira Liga,Estoril,Jogo 2,Rodrigo Martins,73,57,30.8,173
Serie A,Napoli,Jogo 2,André-Frank Zambo Anguissa,40,82,26.7,188
Eredivisie,AZ Alkmaar,Jogo 2,Dani de Wit,95,93,32.9,185
Eredivisie,Twente,Jogo 2,Sem Steijn,66,66,28.6,157
Ligue 1,Lille,Jogo 2,Jonathan David,41,84,29.9,150
Brasileirão,Atlético Mineiro,Jogo 2,Guilherme Arana,99,59,22.8,163
Ligue 1,Monaco,Jogo 2,Aleksandr Golovin,67,28,30.2,174
Primeira Liga,Benfica,Jogo 2,Ángel Di María,47,52,26.6,166
Eredivisie,AZ Alkmaar,Jogo 2,Ruben van Bommel,87,77,27.6,179
Bundesliga,RB Leipzig,Jogo 2,Dani Olmo,45,7,32.3,151
Eredivisie,PSV Eindhoven,Jogo 2,Luuk de Jong,71,83,22.7,162
La Liga,Real Madrid,Jogo 2,Rodrygo,97,42,22.5,182
Primeira Liga,Sporting CP,Jogo 2,Pedro Gonçalves,100,87,23.7,175
Primeira Liga,Benfica,Jogo 2,Rafa Silva,12,26,33.1,182
Eredivisie,Ajax,Jogo 2,Steven Bergwijn,64,58,23.9,187
